x:radian,y:sine
0.017453292,0.017452406
0.122173046,0.121869341
0.226892799,0.224951051
0.331612552,0.325568149
0.436332306,0.422618255
0.541052059,0.515038067
0.645771812,0.601815014
0.750491566,0.681998351
0.855211319,0.754709571
0.959931072,0.819152035
1.064650826,0.874619698
1.169370579,0.920504846
1.274090332,0.95630475
1.378810086,0.981627179
1.483529839,0.996194696
1.588249592,0.999847696
1.692969346,0.992546155
1.797689099,0.974370072
1.902408852,0.945518586
2.007128606,0.906307802
2.111848359,0.857167319
2.216568112,0.798635533
2.321287866,0.731353729
2.426007619,0.65605906
2.530727372,0.573576472
2.635447126,0.48480966
2.740166879,0.390731172
2.844886632,0.292371751
2.949606386,0.190809045
3.054326139,0.087155795
3.159045892,-0.017452353
3.263765646,-0.121869288
3.368485399,-0.224950998
3.473205152,-0.325568098
3.577924906,-0.422618206
3.682644659,-0.515038021
3.787364412,-0.601814972
3.892084166,-0.681998312
3.996803919,-0.754709535
4.101523672,-0.819152004
4.206243426,-0.874619672
4.310963179,-0.920504825
4.415682932,-0.956304734
4.520402686,-0.981627169
4.625122439,-0.996194691
4.729842192,-0.999847697
4.834561946,-0.992546162
4.939281699,-0.974370084
5.044001452,-0.945518604
5.148721206,-0.906307824
5.253440959,-0.857167347
5.358160712,-0.798635565
5.462880466,-0.731353765
5.567600219,-0.656059101
5.672319972,-0.573576516
5.777039726,-0.484809706
5.881759479,-0.390731221
5.986479232,-0.292371802
6.091198986,-0.190809097
6.195918739,-0.087155848
6.300638492,0.017452299
